0.5  1.755165123780746	0.06533349608365945   0.03544570292880374   0.02030591507948344   0.0112998377675052   0.005372735601394917   
0.6  1.650671229819356	0.09346256775663077   0.06780505481044427   0.05537853349317566   0.04828363753465265   0.04377958552200666   
0.7  1.529684374568977	0.1292539569167989   0.1086746854553925   0.09953565128317159   0.09479477803566094   0.09206301398833859   
0.7999999999999999  1.393413418694331	0.1746999846023337   0.1586494935787855   0.1528662625264465   0.1505734022536233   0.1497380765135186   
0.8999999999999999  1.243219936541329	0.2281071678850798   0.1923867142337891   0.1765443124038627   0.1649576143392783   0.1567739775791153   
0.9999999999999999  1.08060461173628	0.2427039122128695   0.196411177344437   0.1704027326381965   0.1531841608428749   0.1410050954399889   
1.1  0.907192242851155	0.2054187565517941   0.1635609832693564   0.1376682851363   0.1201976714806461   0.1076224682714059   
1.2  0.7247155089533472	0.1638445805437108   0.1221800083655865   0.09672665849177611   0.07960073036263395   0.06729611790187716   
1.3  0.5349976572491747	0.1233302257550415   0.08184348793353835   0.05671284386479221   0.03987594122299105   0.02781349912125219   
1.4  0.3399342858004816	0.08381965694492589   0.04226011311636634   0.01736830036032917   0.0007991635070671591   -0.01102096580572573   
1.5  0.1414744033354054	0.04543353092169353   0.003224513461048199   -0.02160301476705004   -0.03795500397504368   -0.04953868351886175   
1.6  -0.05839904460257807	0.008572374259422979   -0.03515810642106106   -0.06031494739555367   -0.07663521681494354   -0.08807105690613075   
1.7  -0.2576889885910502	-0.02626299231000591   -0.072420014566976   -0.09849285848911925   -0.1151580596631696   -0.126695070587691   
1.8  -0.4544041893861751	-0.05866331651450452   -0.1079134425768147   -0.1354800032259748   -0.1529496930233818   -0.1649523637380836   
