1.9  -0.6465791337270067	0.4695214025402574   0.4828186125587349   0.490876860973221   0.4962873966435853   0.5001726790266287   
2  -0.8322936730942847	0.3471670166648588   0.3603443802264924   0.3682937887647789   0.3736137587493715   0.377424566915868   
2.1  -1.009692209199715	0.2553930396764616   0.2683758259032379   0.2761627472699482   0.2813527452505275   0.2850592116387367   
2.2  -1.177002234510692	0.1844296568519954   0.1971215046606626   0.2046824821518583   0.2096982282198889   0.2132679055220974   
2.3  -1.332552042559649	0.1288246621477361   0.1411133839829805   0.1483797794868674   0.1531752544723961   0.1565752101896509   
2.4  -1.474787431082492	0.08519927913178871   0.09696579088067225   0.103868386351648   0.1083982134968088   0.1115963336346504   
