0	0.1776362987812596   0.1739322092731462   0.1517480864457215   0.1512062472381467
0.1	0.1878942593654832   0.1850760374664673   0.16255751006775   0.1624186460115467
0.2	0.1987419875044229   0.1970092057596143   0.1741903908996502   0.1739928634935189
0.3	0.2101128449561991   0.2094756730554879   0.1862869903181193   0.1859486644755078
0.4	0.2218469268843368   0.2218381505945272   0.1982958237076745   0.1982110749220215
0.5	0.2336817833060358   0.2330936135642395   0.2104526311782915   0.2095506544179627
0.6	0.2452821385866764   0.2425073812950653   0.2222864575775242   0.2189444020409483
0.7	0.2563270037968451   0.2495955835239318   0.2334140925186938   0.2240293593103507
0.7999999999999999	0.2520366817331979   0.2453458047217046   0.2379019607034266   0.2142261763736733
0.8999999999999999	0.2502505401252797   0.2365923235710494   0.2289254035030358   0.193776918609144
0.9999999999999999	0.2357087111826378   0.2345504225045505   0.2067392034821381   0.1755301195363876
1.1	0.2340840779639765   0.2145773421435067   0.1883797440884406   0.1598846713188126
1.2	0.2171078147510706   0.1974366373617672   0.1725774989085959   0.1462811351465303
1.3	0.2017805805480602   0.1824659347013054   0.1587149393691856   0.1342681058601071
1.4	0.1882337109599028   0.1692215480403916   0.1463856813213827   0.1235189444527236
