0	0.1591815693726434   0.1512062472381468   0.1465727940297346   0.1437500881453286   0.1421598246569286   
0.1	0.1738622937766242   0.1624186460115466   0.1554233664830154   0.1512228818008352   0.1486156236451655   
0.2	0.1894096023462203   0.1739928634935184   0.1647640867710041   0.1590928067153747   0.1554029898464372   
0.3	0.205491595011156   0.1859486644755082   0.174491600299039   0.1672643156077508   0.1624354170396533   
0.4	0.2214287467152387   0.1982110749220214   0.1844119260560023   0.1755651566107984   0.1695605168918045   
0.5	0.2364439200966586   0.2095506544179624   0.1936173199522571   0.1833468396243537   0.1763096547515578   
0.6	0.2488398699143762   0.2189444020409482   0.2013930544483068   0.1900608745651229   0.1822435768274832   
0.7	0.2541798221803021   0.2240293593103511   0.2061413573842331   0.1944989475645433   0.1864069969206754   
0.7999999999999999	0.2326996957707931   0.2142261763736733   0.2017446013075272   0.1927750180617165   0.1860781613855996   
0.8999999999999999	0.2051947150874469   0.1937769186091441   0.1861629639998295   0.1807284386148337   0.176656909368806   
0.9999999999999999	0.1820182176126742   0.1755301195363879   0.1711779101775423   0.1680567525584598   0.1657092900321334   
1.1	0.1623379053118955   0.159884671318813   0.1582041932848726   0.1569802927215177   0.1560487075558421   
1.2	0.1452834762077058   0.1462811351465304   0.1468916860511928   0.1472989223990829   0.1475875741034219   
1.3	0.1302480834072419   0.134268105860107   0.1368887299415955   0.1387293466944222   0.1400917722076754   
1.4	0.1168081880612573   0.1235189444527237   0.1279310779425123   0.1310504363020746   0.1333715539469873   
1.5	0.1046593795511693   0.1137955657894833   0.1198236883483298   0.124097166531841   0.1272839440410277   
1.6	0.09357626776553835   0.1049204734778412   0.112420350258513   0.1177452821750241   0.1217209058795138   
1.7	0.0833875426663805   0.09675823239218485   0.1056091808773152   0.111899503070559   0.1165994688565032   
1.8	0.07396003723965199   0.08920330182264401   0.09930284729867085   0.1064853748237423   0.1118547532064746   
1.900000000000001	0.06518821890447393   0.08217189900305986   0.09343194598271239   0.1014436920483834   0.1074351528114798   
