0	0.2724910663293484   0.2192994484381409   0.191789540416685   0.1759300131356103   0.1660866451242353   
0.1	0.282566281113055   0.2274877439632583   0.1986842959116538   0.1818999754288022   0.1713634385913176   
0.2	0.2924187971502684   0.235556086567255   0.2055182025337348   0.1878519684848051   0.1766533812266038   
0.3	0.3018763520068149   0.2433524995851913   0.2121548026840045   0.1936627052227755   0.1818452735296306   
0.4	0.310770256615052   0.2507166624066399   0.2184414311826172   0.1991865363389519   0.1868012528288545   
0.5	0.3115542979998729   0.2533890271274613   0.2220179632810012   0.2030803596054433   0.1907233699562702   
0.6	0.3109691528643208   0.2540238729802967   0.2236699552427668   0.2053751356117806   0.193374022245941   
0.7	0.3102605614904594   0.2538185541856866   0.2240568796733792   0.2062534951153516   0.1946272052848755   
0.7999999999999999	0.3093877579981636   0.2530290583660865   0.2235276926362675   0.2059948210891402   0.1946141550089563   
0.8999999999999999	0.3082917050657271   0.2517046874648243   0.2222228337934987   0.2047862625071499   0.1935248461809168   
0.9999999999999999	0.3068852982386381   0.2497784926253176   0.2201146830336588   0.2026387422029328   0.1914034661600844   
1.1	0.3050386320514213   0.2471026539623862   0.2170765472570031   0.1994600646704069   0.188196697398686   
1.2	0.3025595868019224   0.2434792094615678   0.2129720126707849   0.1951944186891208   0.1839302418301935   
1.3	0.2991781467329641   0.2387282301533446   0.2077800416317905   0.1889732393310622   0.1771266527548987   
1.4	0.2945651605897615   0.2302447106395815   0.1977859893359327   0.1799834338916925   0.1693940801620382   
1.5	0.2800737703835343   0.2181535177199526   0.1880816831086521   0.1718669668279084   0.1624126756811392   
1.6	0.2653901598554252   0.2071298868878358   0.1792356610799658   0.1644690281073859   0.1560493509925538   
