0	0.1738528862464399   0.1591815693726433   0.1512062472381464   0.1465727940297345   0.1437500881453286   
0.1	0.1870177950036329   0.1692382374843388   0.1593964269605065   0.1535360942097939   0.1498158556429966   
0.2	0.200369533874118   0.1794013464092272   0.1676997027554752   0.1606326098412895   0.1560415931956297   
0.3	0.2137099133651889   0.1894868506094989   0.1759537993950833   0.1676913963325418   0.1622983027051339   
0.4	0.2267896138178821   0.1992587092978935   0.1839386486817491   0.1745392869786582   0.1683615274485656   
0.5	0.231513545243702   0.2054083010424537   0.1902202414560528   0.1804919609560152   0.1738600473918635   
0.6	0.2316015860460988   0.2077647363573766   0.1937820468142835   0.1845774834810988   0.1780715709809726   
0.7	0.2295008068444817   0.2071996916868372   0.1943274820416115   0.1859198235672487   0.1799719323550897   
0.7999999999999999	0.225837289091323   0.2045586858475736   0.1924914542693768   0.1847151012642277   0.1792782014264632   
0.8999999999999999	0.2207445671016266   0.2001984097867117   0.1887797844534683   0.1815365531574496   0.1765366235662787   
0.9999999999999999	0.2141769382981202   0.1941773737527052   0.1833376474347736   0.1766095831657701   0.1720517256833447   
1.1	0.2060921800197514   0.1865676662243695   0.1763251605619128   0.1701626483140218   0.1661075013677855   
1.2	0.1965772859334905   0.1776529250260252   0.1681712283216888   0.1625881008066396   0.1586975053516848   
1.3	0.1858974134141929   0.1662130943674786   0.1570075228670081   0.1524557059031492   0.1499954223915876   
1.4	0.169748138398183   0.1527387168362246   0.1461874292027223   0.1434121492849888   0.1422250845239966   
1.5	0.1536016744169753   0.1405752364316752   0.1364192577684429   0.1352458654197194   0.1352062195672425   
1.6	0.138883754029339   0.1294897421594118   0.1275164018100717   0.1278017005474596   0.1288064004779327   
