0.03643347343705184   1.755165123780746	0.03901646690663346   
0.06085124415859336   1.650671229819356	0.06371052830476631   
0.09267300586657656   1.529684374568977	0.09577797265593033   
0.1332727970405327   1.393413418694331	0.1365926411245981   
0.1845785630996286   1.243219936541329	0.1880816183210667   
0.2494249796892256   1.08060461173628	0.2530785639593894   
0.3322490741016598   0.907192242851155	0.3360203093660465   
0.4406303051607752   0.7247155089533472	0.4444879882234908   
0.5893147810178254   0.5349976572491747	0.5932314444209401   
0.8139065735070576   0.3399342858004816	0.8178596044888903  
1.251023733088857   0.1414744033354058	1.254995020199235 
