0	-0.540999348129487   -0.5944935775644191   -0.6247892575043024   -0.6442216476785413   -0.6577250577537391   
0.1	-0.5476751149578004   -0.5986459166187932   -0.6277227506757554   -0.6464609710123378   -0.6595241781388983   
0.2	-0.554465744394831   -0.6029538185552744   -0.6308016361172285   -0.648828370034361   -0.6614352542750158   
0.3	-0.5613097758430704   -0.6073791702187609   -0.6340023262920585   -0.6513088034857453   -0.663448424947412   
0.4	-0.5681538441994595   -0.6118838612936952   -0.6372985042529369   -0.6538837377407408   -0.6655502875355349   
0.5	-0.5749539284162607   -0.6164322016520395   -0.6406631766887221   -0.6565326553060914   -0.6677249507423094   
0.6	-0.5816753230186954   -0.6209925327524418   -0.6440704609218871   -0.6592346249026053   -0.6699553210345425   
0.7	-0.5882918147911974   -0.6255380284860214   -0.6474968752003538   -0.6619696473949003   -0.6722243534566477   
0.7999999999999999	-0.5947844775454497   -0.6300468429784459   -0.6509220774120996   -0.6647196136012543   -0.6745160598087002   
0.8999999999999999	-0.6011403725007527   -0.6345018189312857   -0.6543291254893914   -0.6674688425706915   -0.67681617774505   
0.9999999999999999	-0.6073513228611259   -0.6388899534104338   -0.6577043915137919   -0.6702042618816875   -0.6791125060633406   
1.1	-0.6134128429602722   -0.6432017691551372   -0.6610372651305718   -0.6729153317976105   -0.681394973033485   
1.2	-0.6193232465096662   -0.6474306869111791   -0.6643197561279012   -0.6755938151992577   -0.6836555244767882   
1.3	-0.6250829277443978   -0.6515724515324691   -0.667546072089198   -0.6782334747295624   -0.685887910591643   
1.4	-0.6306937950636792   -0.6556246349592496   -0.6707122166923225   -0.6808297529364644   -0.6880874309907014   
1.5	-0.6361588322546842   -0.6595862210178539   -0.673815631729527   -0.6833794687035205   -0.6902506767387618   
1.6	-0.6414817629401269   -0.6634572671584585   -0.6768548912295889   -0.6858805467300343   -0.6923752913575907   
1.7	-0.6466667966991171   -0.6672386337992012   -0.6798294474887319   -0.6883317860859793   -0.6944597609912526   
