0.5  1.755165123780746	0.2448946152731707   0.1534491901183306   0.1068767277671711   0.07891327319922874   0.06048481427790548   
0.6  1.650671229819356	0.2584161004058879   0.1741588141092433   0.1321347145747966   0.1073468210574202   0.09129603118270145   
0.7  1.529684374568977	0.2755784341933795   0.200478251212887   0.1639605708263754   0.1430156327055135   0.1298851279604796   
0.7999999999999999  1.393413418694331	0.2972944479989894   0.2338398608255597   0.2019040525589632   0.1848207162053769   0.1746334765161005   
0.8999999999999999  1.243219936541329	0.3250457681551479   0.2541738474893228   0.2141870486610231   0.191297360987311   0.1760297357168847   
0.9999999999999999  1.08060461173628	0.3000158585263148   0.233743091187621   0.1971709035002432   0.1737664342427583   0.1575930358372733   
1.1  0.907192242851155	0.2746283197904351   0.2021988782852541   0.1623976952223835   0.1373711250439632   0.1202434715688894   
1.2  0.7247155089533472	0.2511324444338904   0.1714020796319531   0.1283333173939427   0.1016143176319024   0.08351093140909742   
1.3  0.5349976572491747	0.229494921581598   0.1418207373216347   0.09524912791407457   0.06673040174532922   0.0476037780023951   
1.4  0.3399342858004816	0.2096376637198613   0.1136798273717939   0.06328721190272693   0.03278780191960533   0.01253935137635313   
1.5  0.1414744033354054	0.1914619032128853   0.08715981405771361   0.03262285416270329   -0.0001128094965893477   -0.0216550432135121   
1.6  -0.05839904460257807	0.1748629846495711   0.06239319132870899   0.003472601717616405   -0.03177895661910089   -0.05484920756076288   
1.7  -0.2576889885910502	0.1597387719633732   0.03945449902559531   -0.02394790842550134   -0.06194283066367556   -0.08678339781317922   
1.8  -0.4544041893861751	0.1459940016903805   0.01836505656175456   -0.04946786354766719   -0.09032549550706027   -0.1171184972381686   
