0.1  1.487497871355824	0.007208449926443487   -0.006097352947996532   
0.2  1.449963733211887	0.0361508681338036   0.0310992165452046   
0.3  1.387297177482169	0.04541355187676628   0.04072049857830679   
0.4  1.299269773814151	0.06228310627227757   0.05729329272509842   
0.5  1.185418160118471	0.08751001429918778   0.08163887636388527   
0.6  1.044857072563198	0.1231040137105443   0.1155239173822975   
0.7  0.8759547447021802	0.172641864073806   0.1616312000343667   
0.7999999999999999  0.6757513188582109	0.2311055488772025   0.212649830400819   
0.8999999999999999  0.4388570313083044	0.2690481569371334   0.2527348821375391   
0.9999999999999999  0.1551967528958171	0.304934896302855   0.2948632043541858   
1.1  -0.1951099515075245	0.3412922037476399   0.3404984256431217   
1.2  -0.6551362917128556	0.379985651580885   0.3935760466211704   
1.3  -1.334169406288547	0.4455134255950727   0.4735788483960487   
1.4  -2.601810756613193	0.5656188693858282   0.6112554395907792   
