1.2  0.7247155089533472	0.4444879882234907   0.4473910323291777   
1.225  0.6778919470722349	0.477050752687961   0.4799680337387038   
1.25  0.6306447247905378	0.5123923704976928   0.515322571799922   
1.275  0.5830033700842185	0.5509394442481955   0.5538813019918992   
1.3  0.5349976572491756	0.5932314444209396   0.5961837498371914   
1.325  0.4866575882932774	0.6399645755380365   0.6429261758469503   
1.349999999999999  0.4380133741860843	0.6920592570193849   0.6950290551531111   
1.374999999999999  0.3890954159779757	0.7507683324777895   0.7537452856031576   
1.399999999999999  0.3399342858004833	0.8178596044888889   0.8208427213878912   
1.424999999999999  0.2905607077597044	0.8959438571484728   0.8989321945415237   
1.449999999999999  0.241005538734735	0.9891143859324105   0.9921070438486961   
1.474999999999999  0.1912997490931253	1.104338182910113   1.107334299225691   
1.499999999999999  0.1414744033354081	1.254995020082399   1.257993764393982   
1.524999999999999  0.09156064068079678	1.472410304070487   1.475410882195029   
