0.5  1.185418160118471	0.1113990738126092   0.07655031547145534   0.05622853408214419   0.04288925946229935   0.03344427648580593   
0.6  1.044857072563198	0.1444205660226725   0.1134906589834173   0.09547623369435905   0.08365558700264887   0.07528623369310948   
0.7  0.8759547447021802	0.1865639035278315   0.1604334792366099   0.1452573045671681   0.1353115771375089   0.128275739929527   
0.7999999999999999  0.6757513188582109	0.2360274144934269   0.2138136212100651   0.2005542263944834   0.1916506378408153   0.1849952888264455   
0.8999999999999999  0.4388570313083044	0.216700697831113   0.1899929220413223   0.1739530914942625   0.16327934962682   0.1556339702750349   
0.9999999999999999  0.1551967528958171	0.1603187771903349   0.1363081086635008   0.1225214579845547   0.1135001611219697   0.1071213819950263   
1.1  -0.1951099515075245	0.1002041567833346   0.07939672775906832   0.06817524533194166   0.06114484140914738   0.05632921422264297   
1.2  -0.6551362917128556	0.03558233825921593   0.0189462890287873   0.01099474128460872   0.006474723477148511   0.003611477116550504   
1.3  -1.334169406288547	-0.03713835919957176   -0.04775829347044712   -0.05112959367878226   -0.05222136285569822   -0.05245991374086478   
1.4  -2.601810756613193	-0.1281261357396751   -0.1284911273774897   -0.1245129798622575   -0.1202535342654872   -0.1164614975129942   
1.5  -6.926942048149569	-0.2808389976230356   -0.2558857855491998   -0.2354102136360941   -0.2196097205299289   -0.2073164649635502   
1.6  17.06516876040659	-0.4261604626328383   -0.377420465552972   -0.341603519541447   -0.3150643664639393   -0.2948400517898764   
1.7  3.622958009434115	-0.1667724702506372   -0.19390753418551   -0.2031984408505571   -0.2064774101793934   -0.2074028404295117   
1.8  1.746279746540637	-0.03376866567591521   -0.1045570972233395   -0.139931466502848   -0.1605005418077653   -0.1737090302654217   
