0.5  1.185418160118471	0.2566584904081398   0.1756926149820499   0.1305138526212396   0.1018938557811551   0.08221895275011162   
0.6  1.044857072563198	0.2713717057306003   0.1981592894228071   0.1577790950599851   0.1324425507149272   0.1151566612510435   
0.7  0.8759547447021802	0.2901519273824312   0.2264179298855314   0.1919202121104485   0.1706708442776741   0.1563897149301252   
0.7999999999999999  0.6757513188582109	0.3140754254107275   0.257294469851561   0.2279103064780507   0.2098840925420394   0.1981485206425092   
0.8999999999999999  0.4388570313083044	0.2968817387503054   0.2356662338271941   0.2033102234817077   0.1835816299990254   0.170468389394772   
0.9999999999999999  0.1551967528958171	0.2650543877847855   0.1965794165517857   0.1613437471260287   0.1404849986754446   0.1269201190242023   
1.1  -0.1951099515075245	0.2319540528538474   0.1547761321695731   0.1167457604767857   0.09495316548096323   0.08117391473348463   
1.2  -0.6551362917128556	0.1949298594697937   0.109437030054862   0.06914914116117522   0.04692959046325482   0.03334890721502218   
1.3  -1.334169406288547	0.1487914481117306   0.05783465957229534   0.01658737561717405   -0.005175170489105611   -0.01789857893115664   
1.4  -2.601810756613193	0.08211442143478216   -0.007684502219897988   -0.04687511581419553   -0.06632255420956029   -0.07686863260681379   
1.5  -6.926942048149569	-0.04868668929910097   -0.1196809973387848   -0.1471626666547895   -0.15811980528214   -0.1621308466577304   
1.6  17.06516876040659	-0.1749534016655125   -0.226706408575032   -0.2427656583245085   -0.2457187563522442   -0.2436694629842689   
1.7  3.622958009434115	0.09947790856646639   -0.03145552811608202   -0.09526749622327225   -0.1299680542950274   -0.1504620341641083   
1.8  1.746279746540637	0.1541119449496168   0.03217129082659165   -0.03285084832514295   -0.07652173584819386   -0.1104142152331936   
